path,bytes,status,purpose,deletion_advice
deepseek-v4-csa/PROVENANCE.json,9785,tracked,源版本、采集身份、工具/验证信息及随包文件SHA-256清单。,保留；不是运行必需，但用于确认代码与采集配套。文件删改后必须同步清单。
deepseek-v4-csa/chip_swimlane_records.json,233055,tracked,原始芯片采集：核类型、任务ID、开始/结束时间及调度记录；物理记录统计的依据。,保留；删除将失去该次实测证据，重新运行不保证相同耗时。
deepseek-v4-csa/concurrency_analysis.json,3187,tracked,该次采集的静态/实测并发分析；B还包含逐kernel时间统计。,可选删除；丢失机器可读分析且README引用需调整，建议保留。
deepseek-v4-csa/dependency_graph.svg,46235,tracked,合并算子后的近似对称依赖图，省略传递边，MIX每block计一个任务。,可重建，但用户指定交付，建议保留。
deepseek-v4-csa/dependency_graph_counts.json,18232,tracked,SVG节点计数、成员TaskId、原始记录数、合并前后依赖边；便于审计图示。,可选删除；SVG生成时可重建，不影响运行或打开SVG。
deepseek-v4-csa/deps.json,108787,tracked,逻辑任务、kernel ID、BlockDim、张量和wait依赖；依赖图及静态并发分析的依据。,保留；是约定交付物和SVG生成输入。
deepseek-v4-csa/deps_viewer.html,133307,tracked,可直接打开的逻辑依赖图网页。,技术上可从deps和名称映射重建；按当前交付要求保留。
deepseek-v4-csa/merged_swimlane.json,2916300,tracked,用于trace查看器的合并泳道展示数据，将采集整理为时间线事件。,可选删除；不影响算子执行，但失去现成时间线；需同步README/PROVENANCE并使用匹配工具重建。
deepseek-v4-csa/name_map.json,1472,tracked,callable/kernel ID到可读算子名称的映射。,保留；SVG及分析脚本直接读取，不能只删此文件。
deepseek-v4-csa/pypto-lib-operator/LICENSE,5262,tracked,该份源码/生成代码的上游许可证文本。,保留；随代码分发，不作为冗余文件清理。
deepseek-v4-csa/pypto-lib-operator/__pycache__/config.cpython-311.pyc,8872,local/ignored,Python导入生成的字节码缓存。,可清理；后续导入自动重建。
deepseek-v4-csa/pypto-lib-operator/__pycache__/decode_compressor_ratio4.cpython-311.pyc,38658,local/ignored,Python导入生成的字节码缓存。,可清理；后续导入自动重建。
deepseek-v4-csa/pypto-lib-operator/__pycache__/decode_csa.cpython-311.pyc,67147,local/ignored,Python导入生成的字节码缓存。,可清理；后续导入自动重建。
deepseek-v4-csa/pypto-lib-operator/__pycache__/decode_indexer.cpython-311.pyc,52966,local/ignored,Python导入生成的字节码缓存。,可清理；后续导入自动重建。
deepseek-v4-csa/pypto-lib-operator/__pycache__/decode_indexer_compressor.cpython-311.pyc,44382,local/ignored,Python导入生成的字节码缓存。,可清理；后续导入自动重建。
deepseek-v4-csa/pypto-lib-operator/__pycache__/decode_sparse_attn_csa.cpython-311.pyc,58736,local/ignored,Python导入生成的字节码缓存。,可清理；后续导入自动重建。
deepseek-v4-csa/pypto-lib-operator/__pycache__/hc_post.cpython-311.pyc,14340,local/ignored,Python导入生成的字节码缓存。,可清理；后续导入自动重建。
deepseek-v4-csa/pypto-lib-operator/__pycache__/hc_pre.cpython-311.pyc,32863,local/ignored,Python导入生成的字节码缓存。,可清理；后续导入自动重建。
deepseek-v4-csa/pypto-lib-operator/__pycache__/qkv_proj_rope.cpython-311.pyc,83852,local/ignored,Python导入生成的字节码缓存。,可清理；后续导入自动重建。
deepseek-v4-csa/pypto-lib-operator/__pycache__/rmsnorm.cpython-311.pyc,9357,local/ignored,Python导入生成的字节码缓存。,可清理；后续导入自动重建。
deepseek-v4-csa/pypto-lib-operator/__pycache__/rope_interleave.cpython-311.pyc,4065,local/ignored,Python导入生成的字节码缓存。,可清理；后续导入自动重建。
deepseek-v4-csa/pypto-lib-operator/__pycache__/run_benchmark.cpython-311.pyc,3271,local/ignored,Python导入生成的字节码缓存。,可清理；后续导入自动重建。
deepseek-v4-csa/pypto-lib-operator/__pycache__/utils.cpython-311.pyc,24541,local/ignored,Python导入生成的字节码缓存。,可清理；后续导入自动重建。
deepseek-v4-csa/pypto-lib-operator/config.py,10057,tracked,模型维度、batch及tiling常量；A/B配置不同，不可跨方案随意替换。,保留；当前Python导入/运行闭包组成部分，不能按默认图未执行直接删。
deepseek-v4-csa/pypto-lib-operator/decode_compressor_ratio4.py,28951,tracked,主ratio-4压缩器：投影、状态池化、归一化/RoPE及压缩cache更新。,保留；当前Python导入/运行闭包组成部分，不能按默认图未执行直接删。
deepseek-v4-csa/pypto-lib-operator/decode_csa.py,44004,tracked,CSA顶层计算图、输入/缓存测试数据构造与Golden参考；A/B均由此组装执行。,保留；当前Python导入/运行闭包组成部分，不能按默认图未执行直接删。
deepseek-v4-csa/pypto-lib-operator/decode_indexer.py,40133,tracked,Indexer的查询投影、Hadamard/量化、score归约与Top-K选取。,保留；当前Python导入/运行闭包组成部分，不能按默认图未执行直接删。
deepseek-v4-csa/pypto-lib-operator/decode_indexer_compressor.py,33184,tracked,Indexer内部压缩器及其状态/cache处理，区别于主attention压缩器。,保留；当前Python导入/运行闭包组成部分，不能按默认图未执行直接删。
deepseek-v4-csa/pypto-lib-operator/decode_sparse_attn_csa.py,44872,tracked,根据Top-K和滑窗构造稀疏访问计划，执行QK/PV、merge及输出投影。,保留；当前Python导入/运行闭包组成部分，不能按默认图未执行直接删。
deepseek-v4-csa/pypto-lib-operator/golden/__init__.py,2161,tracked,导出run、规格和比较器等Golden接口。,保留；两个运行入口共同依赖。
deepseek-v4-csa/pypto-lib-operator/golden/__pycache__/__init__.cpython-311.pyc,2008,local/ignored,Python导入生成的字节码缓存。,可清理；后续导入自动重建。
deepseek-v4-csa/pypto-lib-operator/golden/__pycache__/runner.cpython-311.pyc,97395,local/ignored,Python导入生成的字节码缓存。,可清理；后续导入自动重建。
deepseek-v4-csa/pypto-lib-operator/golden/__pycache__/spec.cpython-311.pyc,20388,local/ignored,Python导入生成的字节码缓存。,可清理；后续导入自动重建。
deepseek-v4-csa/pypto-lib-operator/golden/__pycache__/validation.cpython-311.pyc,54566,local/ignored,Python导入生成的字节码缓存。,可清理；后续导入自动重建。
deepseek-v4-csa/pypto-lib-operator/golden/runner.py,73599,tracked,编译/replay、设备执行、输入保存/读取及Golden比较流程。,保留；两个运行入口共同依赖。
